day,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-09-20,79,Chrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/?fbclid=IwAR3uDDtkq7vbjCBveBDbDvsjWQVMgynHvtqMboKXHqMIVajLDDSPqpIdd7Y,,,United States,www.facebook.com,Facebook,,Social,,www.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-20,159,Instagram,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/,Halstenbek,Schleswig-Holstein,Germany,,,,Direct,,,1,0,0,0,0,17s,0,3,1
2020-09-20,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,Canada,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-09-20,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR2zVVl66JwGuSQw2xtNFatKEJDcfV-49zS6RiTDI7fWIJCcv-qHDWZR4J8,Chicago,Illinois,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-20,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/55db546fe4f04a76b3739c648b796a55,Miami,Florida,United States,thebeardroller.com,,,Direct,,thebeardroller.com,1,0,0,0,0,0s,1,1,1
2020-09-20,288,Facebook,Mobile,8,Android,,,Homepage,https://thebeardroller.com/,Binghamton,New York,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-20,85,Chrome,Desktop,8,Windows,,,Homepage,https://thebeardroller.com/,Tlaxcala City,Tlaxcala,Mexico,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-20,,Facebook,Mobile,12,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR1y9SbF5AJOgeKxDINaTDFcBbUPyDMo21Ch2QqAb4AE6OvXmCa9nYnZEns,San Francisco,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-20,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-20,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-21,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-21,,Facebook,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR2PHpB6lWF4L6v_AHoY-XZEVCGlUm2398c-xdkUqyaSEFlEwHkDtlPbCnU,Arlington,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-21,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Mountain View,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-21,288,Facebook,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,27m56s,0,3,1
2020-09-21,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/55db546fe4f04a76b3739c648b796a55,Miami,Florida,United States,thebeardroller.com,,,Direct,,thebeardroller.com,1,0,0,0,0,0s,1,1,1
2020-09-21,286,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Upper Marlboro,Maryland,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-21,85,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Liverpool,England,United Kingdom,,,,Direct,,,1,0,0,0,0,0s,1,1,1
